Cross_ID	Entry	Awns	WDR	flowering	Powdery_mildew	SNB	Location	Height	days_to_head
UX1992	UX1992-306	+	2	4/18/2022	0		Kinston	80	171
UX1992	UX1992-231	+	2	4/14/2022	0		Kinston	85	167
UX1992	UX1992-147	+	2	4/14/2022	0		Kinston	75	167
Parent	NC8248-1	+	4	4/1/2022	1		Kinston	80	154
UX1992	UX1992-312	+	3	4/14/2022	2		Kinston	90	167
UX1992	UX1992-286	+	3	4/8/2022	1		Kinston	75	161
UX1992	UX1992-331	+	2	4/9/2022	0		Kinston	80	162
UX1992	UX1992-55	+	1	4/13/2022	0		Kinston	80	166
Parent	SS8641	-	3	4/11/2022	0		Kinston	90	164
UX1992	UX1992-219	+	3	4/12/2022	0		Kinston	75	165
UX1992	UX1992-22	+	1	4/19/2022	2		Kinston	80	172
UX1992	UX1992-228	+	2	4/14/2022	0		Kinston	75	167
UX1992	UX1992-315	+	1	4/20/2022	0		Kinston	85	173
UX1992	UX1992-87	+	2	4/15/2022	0		Kinston	75	168
UX1992	UX1992-239	+	3	4/11/2022	0		Kinston	85	164
Parent	GA00190-7A14	+	3	4/9/2022	0		Kinston	80	162
UX1992	UX1992-45	+	2	4/15/2022	1		Kinston	80	168
UX1992	UX1992-224	+	2	4/13/2022	0		Kinston	75	166
Parent	NC08-23383	-	3	4/14/2022	0		Kinston	75	167
UX1992	UX1992-292	+	3	4/8/2022	0		Kinston	75	161
UX1992	UX1992-226	+	3	4/13/2022	1		Kinston	95	166
UX1992	UX1992-222	+	3	4/14/2022	0		Kinston	70	167
UX1992	UX1992-154	+	2	4/15/2022	0		Kinston	75	168
UX1992	UX1992-194	+	1	4/22/2022	0		Kinston	70	175
Parent	MPV57	-	2	4/13/2022	1		Kinston	65	166
UX1992	UX1992-275	+	2	4/15/2022	1		Kinston	75	168
UX1992	UX1992-336	+	3	4/13/2022	1		Kinston	80	166
UX1992	UX1992-241	+	4	4/8/2022	1		Kinston	75	161
UX1992	UX1992-337	+	2	4/15/2022	0		Kinston	75	168
Parent	AGS2000	+	4	4/3/2022	0		Kinston	85	156
UX1992	UX1992-157	+	2	4/14/2022	1		Kinston	85	167
UX1992	UX1992-217	+	2	4/14/2022	1		Kinston	90	167
UX1992	UX1992-276	+	2	4/18/2022	0		Kinston	85	171
UX2023	UX2023-87	+	1	4/14/2022	0		Kinston	80	167
UX2023	UX2023-16	+	4	3/26/2022	1		Kinston	80	148
UX2023	UX2023-106	+	2	4/11/2022	0		Kinston	85	164
UX2023	UX2023-12	+	2	4/12/2022	2		Kinston	90	165
UX2023	UX2023-93	+	4	3/27/2022	1		Kinston	75	149
Parent	GA00190-7A14	+	3	4/4/2022	1		Kinston	80	157
UX2023	UX2023-17	+	4	3/28/2022	1		Kinston	95	150
UX2023	UX2023-115	+	2	4/12/2022	1		Kinston	85	165
UX2023	UX2023-92	+	1	4/10/2022	0		Kinston	75	163
